c1,c2,BPM1,BPM2,BPM3
-5.0,0.0,-0.1882178820579728,0.05318078021564121,-0.12623290601672016
-4.0,0.0,0.04428191882318244,0.17201013350366356,-0.07038938883153822
-3.0,0.0,0.08282253972658249,0.23778230180030907,0.13546090794256394
-2.0,0.0,0.004573221997395516,0.020815414542812605,-0.1692994052854816
-1.0,0.0,0.04385745628928506,0.08513389306982677,0.24388529491163147
0.0,0.0,0.1095150786262134,0.0721734964751613,-0.017894504576580372
1.0,0.0,-0.029592472933231473,0.09190092344823647,-0.052628874756969146
2.0,0.0,-0.12823201112281724,0.08101820239514235,-0.13640090736229626
3.0,0.0,0.032421619763643994,-0.019156915061656954,0.17098777758150718
4.0,0.0,0.08745396424661034,0.06478484643100979,0.24271718869800418
5.0,0.0,-0.08530975378508954,-0.24177066232146593,0.0012227430144224893
