c1,c2,BPM1,BPM2,BPM3
-1.0,-5.0,0.07632237958424909,-0.15326806874947535,0.13753335919167747
-1.0,-4.0,0.007394441968894938,0.13392755203312973,-0.07489885130214374
-1.0,-3.0,0.04212476759648276,-0.0657267475452642,-0.036292442925674795
-1.0,-2.0,0.02057787544317785,-0.050332202887977184,-0.04331316069527158
-1.0,-1.0,0.1106345642223795,0.21200098662479205,-0.04145371289978028
-1.0,0.0,0.19926375307285676,0.12423859083546285,-0.02957158787640435
-1.0,1.0,0.15690299124633056,-0.04351556916506749,0.05721147176740127
-1.0,2.0,0.09813533315273876,-0.0931792764817273,-0.01273254693044068
-1.0,3.0,-0.03719549391460819,-0.021345197293465068,-0.0473849509757146
-1.0,4.0,0.09971819230367862,-0.10626648353133428,-0.11498339754382686
-1.0,5.0,-0.06883665003714068,-0.24684256181544967,-0.029941862485546644
