c1,c2,BPM1,BPM2,BPM3
-5.0,0.0,0.1566847598009236,0.2138203960331173,-0.00583924946887604
-4.0,0.0,-0.175092168459333,-0.021459923473163334,-0.21992858290132106
-3.0,0.0,0.07174562206058466,0.21876310504756774,0.13935838996721
-2.0,0.0,0.03998037696415668,0.12388669928362944,-0.06760580584514553
-1.0,0.0,-0.12317722428823846,-0.1851301645394655,-0.16664875894242492
0.0,0.0,0.18662609457039625,-0.12439402455838644,0.1463944793607087
1.0,0.0,0.001615716384984478,-0.11533132063218826,0.20248015729930724
2.0,0.0,-0.17721190565079759,0.04984659552779214,0.008807031960231693
3.0,0.0,0.11276212354995807,0.08823769118674368,-0.040659645431654734
4.0,0.0,0.13342460997702377,-0.07965580663406668,0.07851594496686781
5.0,0.0,-0.08427253946060537,0.10750170851827567,0.12906771566971237
