c1,c2,BPM1,BPM2,BPM3
5.0,0.0,0.07254757041664273,-0.17331436751495388,-0.2567453287929995
5.0,0.0,0.13941711897485565,0.07782054345654599,0.060243919656144396
5.0,0.0,-0.07604407043798056,-0.1956622625138542,-0.18911737188925576
5.0,0.0,0.0646262492577091,-0.013579507476689956,-0.1738051849214114
5.0,0.0,0.009908482472214875,0.05114533359170892,-0.13447295477244853
5.0,0.0,0.12224519023838676,0.20210177935958534,-0.26731031029859736
5.0,0.0,-0.13084809731914815,-0.11212158971648822,0.04923293918279609
5.0,0.0,-0.03245331305416366,0.09838626579604742,0.08544158321893136
5.0,0.0,-0.056720165774102826,0.07686688021068677,0.1945564961049992
5.0,0.0,0.16154623922261757,-0.21060528921514543,-0.23932590531529013
5.0,0.0,0.006996511346539169,-0.1530502518991071,-0.05813882661709724
