Mean X	Std X
-4.20010580064	2.4758154079
-2.6086102333	0.259992802357
-2.38506823291	0.326334992298
-1.88690068523	0.275037345663
-1.74429933922	0.383242854258
-1.45227946431	0.250241572356
-1.61555912773	0.212609066003
-1.20326117009	0.254798278561
-1.50401774551	0.381640481766
-1.29040971659	0.309151304428
-1.57334330353	0.390921433253
-1.9363506667	0.587431678295
-2.03552198651	0.224478631233
-2.66682395809	0.197459206313
-3.33328144893	0.276054466971
-4.19131154916	0.199942303628
-4.59620871205	0.27386214367
-5.08034848571	0.375362936432
-5.9143229929	0.370311292142
-6.78915183984	0.418111942846
