1.757405753581552793e-02,-3.123692383071992817e-05,5.756342599810227141e-06,-1.976278291292764278e-02,8.740552579740392856e-05,-5.066030309296378533e-06,-6.857077863430794361e-04,-7.133834205896523900e-06,-1.685236239329651072e-06,2.346835871114478535e-07,1.034366467475106120e-04,1.174889762226078485e-07
1.802590139956228646e-02,-2.787810266174923555e-05,5.310332352088291585e-06,-1.942949218002032463e-02,8.457521855535486710e-05,-4.882259854690735137e-06,-6.726305947358765568e-04,-6.722466868184089162e-06,-1.657631329694121958e-06,2.296653496315444643e-07,1.014321924411742298e-04,8.984281564785607111e-08
1.848082456137525517e-02,-2.445918936305587285e-05,4.857236905101609429e-06,-1.909595925476858039e-02,8.173825335804635740e-05,-4.698552662753455094e-06,-6.595536106688778839e-04,-6.311899518587565393e-06,-1.629436354033964718e-06,2.245837043394371306e-07,9.942710274532979035e-05,6.227230289030354630e-08
1.893882702125462142e-02,-2.098018393466130388e-05,4.397056258847771711e-06,-1.876218413717262168e-02,7.889463020552907237e-05,-4.514908733491929615e-06,-6.464768341420289903e-04,-5.902132157114333639e-06,-1.600651312345429536e-06,2.194386512344617787e-07,9.742137765997024650e-05,3.477743795338160448e-08
1.939990877920001744e-02,-1.744108637649350373e-05,3.929790413322852433e-06,-1.842816682723208421e-02,7.604434909769494416e-05,-4.331328066885824826e-06,-6.334002651554163955e-04,-5.493164783744006664e-06,-1.571276204634283013e-06,2.142301903170249844e-07,9.541501718510162909e-05,7.358220836071265015e-09
1.986406983521197753e-02,-1.384189668865710808e-05,3.455439368531226521e-06,-1.809390732494738432e-02,7.318741003462311953e-05,-4.147810662950869282e-06,-6.203239037089374255e-04,-5.084997398499362030e-06,-1.541311030894591683e-06,2.089583215863407011e-07,9.340802132071958776e-05,-1.998534845809026250e-08
2.033131018929004719e-02,-1.018261487106982599e-05,2.974003124476724680e-06,-1.775940563031823405e-02,7.032381301631891106e-05,-3.964356521683558808e-06,-6.072477498026731786e-04,-4.677630001382748561e-06,-1.510755791130802469e-06,2.036230450444214790e-07,9.140039006682786299e-05,-4.725326994137182680e-08
2.080162984143455601e-02,-6.463240923793399367e-06,2.485481681151252240e-06,-1.742466174334482767e-02,6.745355804272839325e-05,-3.780965643077214549e-06,-5.941718034365549165e-04,-4.271062592373786643e-06,-1.479610485341195894e-06,1.982243606890684207e-07,8.939212342342200957e-05,-7.444554359930822271e-08
2.127502879164524727e-02,-2.683774846791568442e-06,1.989875038562056416e-06,-1.708967566402703683e-02,6.457664511387034990e-05,-3.597638027136805624e-06,-5.810960646106241639e-04,-3.865295171484741314e-06,-1.447875113526447043e-06,1.927622685218637836e-07,8.738322139050476510e-05,-1.015621694430637680e-07
2.178271755952117597e-02,1.788147829841049130e-06,1.414600615185422271e-06,-1.676382477104528673e-02,6.171671575229889105e-05,-3.421911719570099823e-06,-5.686920712641512464e-04,-3.479203090008034596e-06,-1.409926714213836397e-06,1.867018430004153235e-07,8.546742166454190622e-05,-1.275863296185766378e-07
